year,period,periodName,latest,value,item
2019,M07,July,NA,2.802,East North Central (Wisconsin)
2019,M06,June,NA,2.695,East North Central (Wisconsin)
2019,M05,May,NA,2.818,East North Central (Wisconsin)
2019,M04,April,NA,2.774,East North Central (Wisconsin)
2019,M03,March,NA,2.528,East North Central (Wisconsin)
2019,M02,February,NA,2.268,East North Central (Wisconsin)
2019,M01,January,NA,2.050,East North Central (Wisconsin)
2018,M12,December,NA,2.170,East North Central (Wisconsin)
2018,M11,November,NA,2.472,East North Central (Wisconsin)
2018,M10,October,NA,2.756,East North Central (Wisconsin)
2018,M09,September,NA,2.834,East North Central (Wisconsin)
2018,M08,August,NA,2.823,East North Central (Wisconsin)
2018,M07,July,NA,2.844,East North Central (Wisconsin)
2018,M06,June,NA,2.851,East North Central (Wisconsin)
2018,M05,May,NA,2.879,East North Central (Wisconsin)
2018,M04,April,NA,2.670,East North Central (Wisconsin)
2018,M03,March,NA,2.509,East North Central (Wisconsin)
2018,M02,February,NA,2.469,East North Central (Wisconsin)
2018,M01,January,NA,2.571,East North Central (Wisconsin)
2024,M07,July,true,3.697,Mountain (Nevada)
2024,M06,June,NA,3.729,Mountain (Nevada)
2024,M05,May,NA,4.002,Mountain (Nevada)
2024,M04,April,NA,4.157,Mountain (Nevada)
2024,M03,March,NA,3.824,Mountain (Nevada)
2024,M02,February,NA,3.516,Mountain (Nevada)
2024,M01,January,NA,3.353,Mountain (Nevada)
2023,M12,December,NA,3.507,Mountain (Nevada)
2023,M11,November,NA,3.891,Mountain (Nevada)
2023,M10,October,NA,4.430,Mountain (Nevada)
2023,M09,September,NA,4.576,Mountain (Nevada)
2023,M08,August,NA,4.223,Mountain (Nevada)
2023,M07,July,NA,4.006,Mountain (Nevada)
2023,M06,June,NA,4.103,Mountain (Nevada)
2023,M05,May,NA,4.192,Mountain (Nevada)
2023,M04,April,NA,4.151,Mountain (Nevada)
2023,M03,March,NA,4.100,Mountain (Nevada)
2023,M02,February,NA,3.930,Mountain (Nevada)
2023,M01,January,NA,3.645,Mountain (Nevada)
2022,M12,December,NA,3.731,Mountain (Nevada)
2022,M11,November,NA,4.404,Mountain (Nevada)
2022,M10,October,NA,4.705,Mountain (Nevada)
2022,M09,September,NA,4.473,Mountain (Nevada)
2022,M08,August,NA,4.579,Mountain (Nevada)
2022,M07,July,NA,5.055,Mountain (Nevada)
2022,M06,June,NA,5.314,Mountain (Nevada)
2022,M05,May,NA,4.865,Mountain (Nevada)
2022,M04,April,NA,4.792,Mountain (Nevada)
2022,M03,March,NA,4.607,Mountain (Nevada)
2022,M02,February,NA,3.695,Mountain (Nevada)
2022,M01,January,NA,3.613,Mountain (Nevada)
2021,M12,December,NA,3.686,Mountain (Nevada)
2021,M11,November,NA,3.763,Mountain (Nevada)
2021,M10,October,NA,3.668,Mountain (Nevada)
2021,M09,September,NA,3.681,Mountain (Nevada)
2021,M08,August,NA,3.742,Mountain (Nevada)
2021,M07,July,NA,3.619,Mountain (Nevada)
2021,M06,June,NA,3.431,Mountain (Nevada)
2021,M05,May,NA,3.153,Mountain (Nevada)
2021,M04,April,NA,3.033,Mountain (Nevada)
2021,M03,March,NA,2.934,Mountain (Nevada)
2021,M02,February,NA,2.442,Mountain (Nevada)
2021,M01,January,NA,2.290,Mountain (Nevada)
2020,M12,December,NA,2.165,Mountain (Nevada)
2020,M11,November,NA,2.190,Mountain (Nevada)
2020,M10,October,NA,2.270,Mountain (Nevada)
2020,M09,September,NA,2.338,Mountain (Nevada)
2020,M08,August,NA,2.338,Mountain (Nevada)
2020,M07,July,NA,2.318,Mountain (Nevada)
2020,M06,June,NA,2.235,Mountain (Nevada)
