SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025,change1yr,change5yr,swing
123,"Vallejo, CA",CA,1974,2101,2302,2346,2398,2468,3,25,FALSE
124,"Santa Maria, CA",CA,2379,2649,3233,3307,3430,3572,4,50,FALSE
125,"Salinas, CA",CA,2086,2210,2416,2561,2703,2872,6,38,FALSE
126,"Salem, OR",OR,1286,1380,1554,1673,1699,1746,3,36,FALSE
127,"Mobile, AL",AL,914,1003,1123,1237,1308,1364,4,49,FALSE
128,"Reading, PA",PA,956,1077,1209,1341,1440,1483,3,55,TRUE
129,"Corpus Christi, TX",TX,1125,1198,1305,1339,1355,1396,3,24,FALSE
130,"Brownsville, TX",TX,1086,1170,1292,1404,1476,1518,3,40,FALSE
131,"Manchester, NH",NH,1433,1555,1843,1953,2025,2123,5,48,FALSE
132,"Fort Wayne, IN",IN,844,908,1081,1129,1179,1234,5,46,FALSE
133,"Gulfport, MS",MS,1039,1105,1265,1370,1430,1491,4,44,FALSE
134,"Salisbury, MD",DE,1320,1488,1664,1789,1815,1902,5,44,FALSE
135,"Flint, MI",MI,720,796,898,896,973,1031,6,43,TRUE
136,"Peoria, IL",IL,731,761,842,918,1017,1087,7,49,FALSE
137,"Canton, OH",OH,764,822,908,984,1057,1117,6,46,FALSE
138,"Savannah, GA",GA,1256,1327,1629,1768,1837,1902,4,51,TRUE
139,"Anchorage, AK",AK,1239,1280,1426,1528,1609,1679,4,36,FALSE
140,"Beaumont, TX",TX,1034,1076,1124,1156,1228,1296,6,25,FALSE
141,"Shreveport, LA",LA,1033,1095,1178,1258,1287,1348,5,30,FALSE
142,"Trenton, NJ",NJ,1761,1878,2111,2256,2375,2499,5,42,FALSE
143,"Montgomery, AL",AL,1004,1074,1229,1280,1341,1401,4,40,FALSE
144,"Davenport, IA",IL,766,801,855,906,946,980,4,28,FALSE
145,"Tallahassee, FL",FL,1052,1089,1263,1403,1469,1527,4,45,FALSE
146,"Eugene, OR",OR,1326,1401,1580,1682,1754,1832,4,38,FALSE
147,"Naples, FL",FL,1779,1961,2675,2836,2825,2854,1,60,FALSE
148,"Ann Arbor, MI",MI,1584,1655,1814,1920,2028,2106,4,33,TRUE
149,"Ocala, FL",FL,1086,1215,1507,1573,1567,1632,4,50,FALSE
150,"Hickory, NC",NC,NA,1122,1337,1402,1435,1494,4,NA,TRUE
151,"Huntington, WV",OH,804,837,879,924,976,1020,5,27,FALSE
152,"Fort Collins, CO",CO,1537,1600,1760,1888,1968,2025,3,32,FALSE
153,"Rockford, IL",IL,870,957,1045,1119,1193,1307,10,50,FALSE
154,"Lincoln, NE",NE,1008,1050,1139,1227,1294,1342,4,33,FALSE
155,"Gainesville, FL",FL,1220,1262,1498,1598,1637,1679,3,38,FALSE
156,"Boulder, CO",CO,1844,1921,2155,2235,2307,2369,3,28,FALSE
157,"Green Bay, WI",WI,NA,785,889,966,1008,1073,6,NA,TRUE
158,"Columbus, GA",GA,862,933,1069,1099,1179,1234,5,43,TRUE
159,"South Bend, IN",IN,891,1002,1122,1234,1304,1390,7,56,FALSE
160,"Spartanburg, SC",SC,1093,1157,1284,1374,1444,1501,4,37,FALSE
161,"Greeley, CO",CO,1632,1701,1881,1972,2038,2101,3,29,FALSE
162,"Lubbock, TX",TX,1152,1211,1311,1343,1368,1398,2,21,FALSE
163,"Clarksville, TN",TN,1023,1124,1299,1355,1390,1430,3,40,FALSE
164,"Roanoke, VA",VA,970,1025,1193,1291,1354,1460,8,51,FALSE
165,"Evansville, IN",IN,723,755,832,896,969,1022,5,41,FALSE
167,"Kingsport, TN",TN,NA,NA,1099,1273,1326,1398,5,NA,FALSE
168,"Kennewick, WA",WA,1225,1348,1527,1628,1660,1707,3,39,FALSE
169,"Utica, NY",NY,NA,NA,1130,1249,1360,1388,2,NA,FALSE
170,"Hagerstown, MD",MD,1086,1187,1350,1466,1512,1593,5,47,FALSE
171,"Duluth, MN",MN,1019,1079,1169,1273,1320,1400,6,37,FALSE
172,"Olympia, WA",WA,1517,1693,1895,1945,2007,2064,3,36,FALSE
173,"Longview, TX",TX,951,991,1099,1196,1233,1285,4,35,FALSE
174,"Wilmington, NC",NC,1230,1324,1602,1683,1689,1730,2,41,TRUE
175,"San Luis Obispo, CA",CA,2213,2346,2644,2810,2966,3145,6,42,FALSE
176,"Crestview, FL",FL,1363,1567,1856,1900,1898,1946,3,43,FALSE
177,"Merced, CA",CA,1414,1557,1858,1896,1950,2049,5,45,FALSE
178,"Waco, TX",TX,1134,1199,1391,1478,1530,1543,1,36,FALSE
179,"Cedar Rapids, IA",IA,903,961,997,1064,1099,1151,5,27,FALSE
180,"Atlantic City, NJ",NJ,1331,1524,1840,1941,2121,2257,6,70,FALSE
181,"Bremerton, WA",WA,1497,1633,1834,1801,1923,2012,5,34,FALSE
182,"Sioux Falls, SD",SD,908,953,1091,1162,1180,1211,3,33,FALSE
183,"Santa Cruz, CA",CA,2778,2920,3283,3446,3588,3711,3,34,FALSE
184,"Erie, PA",PA,738,766,869,949,989,1098,11,49,TRUE
185,"Norwich, CT",CT,1142,1261,1432,1558,1697,1794,6,57,FALSE
186,"Amarillo, TX",TX,1034,1106,1205,1278,1304,1369,5,32,FALSE
187,"Laredo, TX",TX,924,940,1077,1094,1180,1252,6,35,FALSE
188,"Tuscaloosa, AL",AL,1106,1146,1287,1385,1451,1544,6,40,FALSE
189,"College Station, TX",TX,1189,1226,1340,1441,1499,1560,4,31,FALSE
190,"Kalamazoo, MI",MI,976,1041,1150,1206,1253,1320,5,35,TRUE
191,"Lynchburg, VA",VA,958,1027,1189,1290,1346,1402,4,46,FALSE
192,"Charleston, WV",WV,816,840,883,942,1001,1040,4,27,FALSE
193,"Yakima, WA",WA,NA,NA,1280,1286,1386,1417,2,NA,FALSE
194,"Fargo, ND",ND,1000,1026,1097,1150,1210,1255,4,26,FALSE
195,"Binghamton, NY",NY,773,850,977,1059,1173,1247,6,61,FALSE
196,"Fort Smith, AR",AR,702,761,861,918,956,994,4,42,FALSE
197,"Appleton, WI",WI,NA,NA,1085,1161,1231,1312,7,NA,TRUE
198,"Prescott Valley, AZ",AZ,1396,1604,1843,1905,1953,1991,2,43,TRUE
199,"Topeka, KS",KS,816,852,972,1030,1082,1168,8,43,FALSE
200,"Macon, GA",GA,826,928,1067,1154,1183,1237,5,50,TRUE
201,"Tyler, TX",TX,1201,1260,1433,1517,1529,1562,2,30,FALSE
202,"Barnstable Town, MA",MA,1937,2079,2417,2543,2749,2891,5,49,FALSE
