SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
210,91730,CA,2002,2213,2620,2651,2699,2767
211,60620,IL,935,984,1029,1098,1137,1214
212,33023,FL,1574,1697,1980,2377,2475,2547
213,94110,CA,3666,3081,3298,3388,3393,3464
214,85364,AZ,NA,NA,NA,1164,1217,1257
215,07055,NJ,NA,NA,NA,NA,1812,1948
216,77450,TX,1434,1488,1751,1764,1804,1845
217,11213,NY,2382,2147,2390,2611,2716,2807
218,47906,IN,1268,1301,1434,1634,1779,1852
219,94509,CA,1781,1951,2103,2159,2210,2287
220,93065,CA,NA,NA,NA,2929,2990,3129
221,95687,CA,2102,2272,2499,2498,2524,2608
222,11201,NY,3427,3106,3771,4040,4184,4319
223,92882,CA,2034,2289,2578,2686,2900,3098
224,07305,NJ,1595,1628,1727,1903,2088,2165
225,19124,PA,888,951,1006,1117,1201,1260
226,94558,CA,2422,2562,2814,2941,3052,3091
227,94538,CA,2568,2461,2667,2708,2709,2779
228,37075,TN,1221,1255,1491,1593,1578,1588
229,91766,CA,NA,NA,2312,2510,2593,2780
230,92805,CA,2216,2240,2643,2675,2810,2839
231,78254,TX,1452,1528,1721,1774,1787,1799
232,60641,IL,1185,1225,1257,1374,1486,1597
233,78046,TX,NA,NA,NA,NA,NA,870
234,33012,FL,NA,NA,NA,NA,2430,2402
235,33015,FL,1524,1568,1838,2285,2301,2322
236,90631,CA,1942,2019,2253,2479,2505,2672
237,80134,CO,1811,1878,2073,2179,2304,2292
238,33186,FL,1662,1719,2187,2521,2575,2630
239,30281,GA,1222,1388,1607,1731,1698,1766
240,28078,NC,1446,1520,1769,1866,1887,1945
241,60640,IL,1375,1358,1427,1578,1673,1782
242,32218,FL,1265,1355,1605,1703,1711,1737
243,85032,AZ,1204,1285,1642,1655,1687,1731
244,33647,FL,1399,1457,1892,1968,1956,1969
246,17603,PA,981,1060,1164,1279,1339,1427
247,11210,NY,2307,2165,2469,2675,2620,2727
248,02301,MA,NA,NA,NA,NA,NA,1850
249,87114,NM,1211,1336,1612,1760,1777,1858
250,90026,CA,2352,2317,2458,2604,2679,2725
251,94587,CA,2278,2211,2367,2474,2493,2538
252,32828,FL,1580,1624,2016,2157,2182,2232
253,85326,AZ,1345,1577,1852,1872,1967,2002
254,92801,CA,1830,1955,2175,2322,2581,2640
255,11372,NY,NA,NA,1981,2020,2106,2284
256,34711,FL,1602,1594,2052,2107,2162,2195
258,75067,TX,1183,1196,1471,1549,1510,1483
259,91402,CA,NA,NA,1904,2093,2194,2260
260,11432,NY,1886,1976,1960,2224,2255,2428
261,89115,NV,1002,1059,1316,1420,1428,1474
262,10027,NY,2691,2395,2749,3091,3062,3203
263,06902,CT,2169,2277,2482,2585,2723,2923
264,10472,NY,NA,NA,NA,NA,NA,2812
265,77036,TX,NA,NA,1010,1057,1122,1121
266,19111,PA,NA,NA,NA,1261,1319,1459
267,78045,TX,1014,1044,1133,1214,1287,1367
268,21234,MD,NA,1322,1450,1508,1607,1624
269,07087,NJ,1758,1741,1852,1973,2118,2226
270,95123,CA,2668,2569,2769,2893,2917,3033
271,92114,CA,NA,NA,2537,2788,2936,3070
273,11746,NY,NA,NA,NA,NA,NA,3425
274,94541,CA,2591,2595,2687,2751,2892,2835
275,23462,VA,1288,1377,1592,1682,1739,1849
276,75068,TX,1706,1814,2155,2242,2272,2316
277,20011,DC,1785,1815,1935,2064,2143,2233
278,32822,FL,1226,1250,1621,1693,1713,1697
279,32765,FL,1575,1614,1983,2115,2111,2097
280,89121,NV,967,1029,1330,1309,1313,1327
282,30004,GA,1517,1562,1953,2043,2043,2031
283,85204,AZ,1044,1119,1404,1403,1422,1442
284,48197,MI,1057,1116,1194,1319,1333,1400
285,30022,GA,1474,1555,1917,1922,1937,1934
286,33157,FL,1609,1689,2236,2445,2553,2616
287,90262,CA,NA,NA,NA,NA,NA,1888
288,43081,OH,1023,1060,1219,1278,1354,1439
289,84096,UT,NA,1510,1749,1806,1743,1796
290,75243,TX,911,976,1091,1176,1157,1156
291,84015,UT,1315,1459,1683,1705,1786,1845
292,89110,NV,934,993,1263,1303,1374,1401
293,90037,CA,NA,NA,NA,2057,2153,2317
294,75098,TX,1425,1479,1746,1865,1859,1910
295,11211,NY,3190,2783,3477,3739,3856,4036
296,60628,IL,1104,1172,1216,1377,1464,1629
297,32210,FL,992,1074,1255,1358,1391,1433
298,92407,CA,NA,NA,NA,1882,1958,2133
299,10312,NY,NA,NA,1881,NA,2365,2800
300,30318,GA,1377,1386,1652,1721,1709,1771
301,66061,KS,1098,1143,1255,1374,1442,1505
302,93906,CA,1698,1840,2055,2075,2191,2415
303,77346,TX,1433,1508,1641,1740,1772,1881
304,43123,OH,NA,NA,1366,1482,1591,1658
305,94080,CA,3168,2991,3207,3318,3353,3375
307,60609,IL,1143,1161,1170,1277,1411,1496
308,30058,GA,1225,1371,1667,1797,1781,1822
309,92703,CA,NA,NA,NA,NA,NA,3300
310,30096,GA,1268,1330,1673,1689,1697,1678
311,32259,FL,1596,1688,2029,2141,2181,2181
312,44256,OH,NA,NA,NA,1623,1753,1795
313,95020,CA,NA,NA,NA,3021,3066,3197
314,02148,MA,1976,1855,2087,2376,2438,2543
315,85301,AZ,848,946,1167,1226,1198,1229
316,33463,FL,NA,NA,2041,2453,2645,2719
318,42101,KY,NA,NA,996,1054,1081,1161
319,33033,FL,1619,1673,2092,2444,2451,2582
320,98682,WA,1348,1456,1701,1803,1725,1823
321,21740,MD,829,892,1083,1229,1215,1289
322,20878,MD,1827,1881,2047,2167,2307,2316
323,87120,NM,1025,1122,1331,1432,1512,1578
324,29072,SC,1159,1233,1411,1508,1526,1628
325,92404,CA,NA,NA,NA,NA,1917,2004
325,23322,VA,1602,1722,1961,2080,2145,2226
327,19143,PA,1107,1204,1295,1370,1407,1492
329,30135,GA,1386,1554,1776,1895,1922,1964
330,85383,AZ,1763,2030,2409,2439,2431,2500
331,91761,CA,1991,2199,2501,2631,2663,2743
332,91977,CA,NA,NA,NA,2058,2239,2372
333,75043,TX,1118,1162,1381,1457,1472,1493
334,92677,CA,2319,2421,2937,3094,3166,3260
335,80219,CO,1554,1675,1871,1988,2214,2172
336,85308,AZ,1352,1485,1808,1808,1814,1853
337,32808,FL,NA,NA,NA,1692,1712,1833
338,92630,CA,2033,2066,2453,2647,2750,2821
339,95758,CA,1857,2061,2338,2393,2422,2492
340,40475,KY,NA,NA,863,965,1004,1077
341,77521,TX,1218,1252,1365,1489,1517,1523
342,92346,CA,NA,NA,NA,2422,2654,2689
343,38401,TN,1162,1224,1378,1479,1545,1508
344,08753,NJ,NA,NA,NA,2557,2782,2978
345,30188,GA,1467,1551,1876,1931,2043,2053
346,32244,FL,1184,1282,1517,1593,1649,1692
347,20019,DC,NA,1430,1534,1570,1621,1806
348,37122,TN,1590,1683,1913,2046,2118,2200
349,90731,CA,1960,2020,2226,2376,2469,2632
350,75040,TX,1340,1394,1649,1745,1798,1816
351,77072,TX,NA,NA,NA,1595,1678,1718
