SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
208,Marion County,OR,1178,1255,1405,1557,1592,1634
209,Somerset County,NJ,1917,1993,2168,2327,2458,2566
210,Hamilton County,IN,1308,1397,1574,1681,1745,1799
211,Rockland County,NY,1987,2058,2329,2590,2727,2725
212,Rutherford County,TN,1302,1371,1594,1711,1739,1783
213,Cumberland County,NC,887,1000,1188,1286,1332,1399
214,Henrico County,VA,1258,1327,1534,1633,1648,1752
215,Howard County,MD,1769,1817,2008,2067,2163,2226
216,Boulder County,CO,1818,1850,2053,2159,2273,2342
217,Saint Lucie County,FL,1463,1634,2105,2187,2232,2337
218,Luzerne County,PA,824,917,1034,1123,1161,1227
219,Spartanburg County,SC,1078,1122,1251,1335,1406,1447
220,Weld County,CO,1416,1487,1635,1734,1786,1865
221,Fayette County,KY,979,1027,1157,1273,1345,1422
222,Lancaster County,NE,943,979,1072,1157,1225,1274
223,Durham County,NC,1228,1254,1462,1572,1589,1593
224,Escambia County,FL,1085,1206,1467,1534,1575,1615
225,Albany County,NY,1256,1321,1428,1511,1585,1653
226,Rockingham County,NH,1697,1806,2081,2203,2308,2439
227,Lorain County,OH,802,877,973,1044,1160,1203
228,Northampton County,PA,1231,1328,1517,1600,1669,1757
229,McHenry County,IL,1357,1448,1572,1668,1813,1947
230,Lubbock County,TX,1118,1167,1256,1320,1329,1374
231,Saint Louis City,MO,959,1008,1093,1179,1223,1286
232,Cumberland County,ME,1608,1761,1992,2121,2189,2317
233,Gloucester County,NJ,1589,1721,1929,2059,2199,2360
234,Greene County,MO,857,929,1077,1148,1177,1226
235,Dutchess County,NY,1445,1661,1859,1942,2099,2190
236,Chatham County,GA,1154,1192,1466,1632,1711,1746
237,Clayton County,GA,1100,1264,1496,1634,1638,1704
238,Ottawa County,MI,1057,1154,1305,1376,1532,1566
239,Anchorage Borough,AK,1300,1345,1435,1567,1662,1714
240,Cleveland County,OK,1034,1080,1208,1273,1317,1370
241,Lexington County,SC,1142,1207,1388,1495,1564,1649
242,Leon County,FL,1030,1067,1231,1369,1467,1507
243,Thurston County,WA,1499,1637,1876,1922,2019,2080
244,Ingham County,MI,800,862,955,1034,1083,1163
245,Winnebago County,IL,833,898,976,1046,1161,1220
246,Dauphin County,PA,927,997,1137,1165,1224,1291
247,San Luis Obispo County,CA,2271,2403,2607,2797,3047,3168
248,Benton County,AR,1074,1150,1311,1498,1512,1620
249,Merced County,CA,1311,1454,1735,1754,1825,1952
250,York County,SC,1134,1206,1451,1558,1570,1615
251,Alachua County,FL,1178,1208,1461,1547,1600,1649
252,Atlantic County,NJ,1195,1277,1577,1714,1887,1997
253,Kitsap County,WA,1477,1558,1833,1828,1880,2030
254,Santa Cruz County,CA,2490,2570,2907,3041,3126,3354
255,Saint Joseph County,IN,797,880,1031,1116,1197,1265
256,Erie County,PA,694,712,777,862,927,997
257,New London County,CT,1130,1198,1331,1456,1591,1709
258,Frederick County,MD,1499,1576,1748,1899,1985,2061
259,Brown County,WI,NA,820,NA,981,1060,1110
260,Buncombe County,NC,1265,1335,1609,1759,1788,1824
261,Webb County,TX,979,981,1087,1147,1246,1262
262,Madison County,IL,805,838,911,972,1051,1081
263,Saint Johns County,FL,1579,1658,2053,2143,2187,2184
264,Washington County,MN,1444,1524,1617,1701,1743,1819
265,Saint Tammany Parish,LA,1182,1228,1473,1453,1475,1508
266,Marin County,CA,3084,3091,3386,3430,3494,3654
267,Cherokee County,GA,1465,1603,1867,1972,2028,2067
268,Kalamazoo County,MI,993,1028,1134,1201,1245,1321
269,Weber County,UT,1010,1092,1287,1356,1406,1450
270,Saint Clair County,IL,827,870,963,1023,1083,1181
271,Harford County,MD,1302,1361,1499,1621,1674,1726
272,McLennan County,TX,1104,1167,1323,1471,1490,1528
273,Cumberland County,PA,1067,1141,1282,1379,1436,1494
274,Jefferson County,TX,939,975,1050,1086,1126,1177
275,Yakima County,WA,NA,NA,1112,1217,1268,1334
276,Clay County,MO,1074,1136,1255,1361,1427,1507
277,Chesapeake City,VA,1393,1474,1680,1750,1830,1920
278,Forsyth County,GA,1546,1649,1960,2090,2141,2165
279,Washington County,AR,1063,1121,1257,1395,1456,1568
280,Williamson County,TN,1609,1650,1988,2065,2079,2177
281,Lafayette Parish,LA,961,1033,1145,1155,1216,1235
282,Caddo Parish,LA,800,856,915,952,984,1056
283,Warren County,OH,1333,1407,1557,1661,1757,1852
